Phone timestamp;HR [bpm];HRV [ms];
2024-04-19T14:45:18.232;116
2024-04-19T14:45:19.253;116
2024-04-19T14:45:20.253;115
2024-04-19T14:45:21.235;112;429,2
2024-04-19T14:45:22.299;108;350,6
2024-04-19T14:45:23.254;112;286,7
2024-04-19T14:45:24.235;113;272,0
2024-04-19T14:45:25.271;115;248,3
2024-04-19T14:45:26.258;116;229,9
2024-04-19T14:45:27.253;117;215,0
2024-04-19T14:45:28.263;116;202,7
2024-04-19T14:45:29.269;115;192,3
2024-04-19T14:45:30.253;115;183,4
2024-04-19T14:45:31.272;115;175,6
2024-04-19T14:45:32.247;115;168,7
2024-04-19T14:45:33.237;116;162,6
2024-04-19T14:45:34.256;118;113,2
2024-04-19T14:45:35.262;119;10,5
2024-04-19T14:45:36.241;119;10,4
2024-04-19T14:45:37.261;118;10,8
2024-04-19T14:45:38.243;118;43,3
2024-04-19T14:45:39.252;117;42,4
2024-04-19T14:45:40.272;115;42,4
2024-04-19T14:45:41.265;106;44,3
2024-04-19T14:45:42.230;105;46,3
2024-04-19T14:45:43.272;106;46,4
2024-04-19T14:45:44.263;108;46,5
2024-04-19T14:45:45.231;110;46,5
2024-04-19T14:45:46.264;111;46,5
2024-04-19T14:45:47.243;112;46,5
2024-04-19T14:45:48.243;113;46,5
2024-04-19T14:45:49.259;113;46,5
2024-04-19T14:45:50.264;113;46,5
2024-04-19T14:45:51.243;113;46,4
2024-04-19T14:45:52.280;113;46,4
2024-04-19T14:45:53.257;113;45,8
2024-04-19T14:45:54.300;113;19,3
2024-04-19T14:45:55.300;114;19,2
2024-04-19T14:45:56.274;115;19,0
2024-04-19T14:45:57.244;116;10,3
2024-04-19T14:45:58.253;116;3,6
2024-04-19T14:45:59.263;117;2,5
2024-04-19T14:46:00.241;117;2,1
2024-04-19T14:46:01.254;118;2,1
