Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2024-04-19T14:45:20.413;536732116831866487;-943;-38340;-83664;-239756;
2024-04-19T14:45:20.431;536732116850029274;614;-36727;-82945;-239785;
2024-04-19T14:45:20.449;536732116868192061;605;-36868;-82233;-239807;
2024-04-19T14:45:20.467;536732116886354848;-253;-37513;-81283;-239848;
2024-04-19T14:45:20.485;536732116904517635;-751;-37532;-80553;-239897;
2024-04-19T14:45:20.503;536732116922680422;-1004;-37384;-80405;-239919;
2024-04-19T14:45:20.521;536732116940843209;-1068;-37285;-80394;-239963;
2024-04-19T14:45:20.540;536732116959005996;-866;-37280;-80227;-239956;
2024-04-19T14:45:20.558;536732116977168783;827;-58876;-127093;-383131;
2024-04-19T14:45:20.576;536732116995331570;3024;-66402;-145379;-440074;
2024-04-19T14:45:20.594;536732117013494357;5401;-68005;-152627;-462586;
2024-04-19T14:45:20.612;536732117031657144;7529;-67554;-155852;-471459;
2024-04-19T14:45:20.630;536732117049819931;9257;-66240;-157559;-475016;
2024-04-19T14:45:20.649;536732117067982718;10770;-64939;-158259;-476389;
2024-04-19T14:45:20.667;536732117086145505;11979;-63776;-158348;-476958;
2024-04-19T14:45:20.685;536732117104308292;12954;-62895;-158250;-477130;
2024-04-19T14:45:20.703;536732117122471079;13869;-62119;-158185;-477183;
2024-04-19T14:45:20.721;536732117140633866;14551;-61502;-158262;-477301;
2024-04-19T14:45:20.739;536732117158796653;15194;-60919;-158245;-477270;
2024-04-19T14:45:20.758;536732117176959440;15872;-60293;-158186;-477304;
2024-04-19T14:45:20.776;536732117195122241;16438;-59758;-158190;-477340;
2024-04-19T14:45:20.794;536732117213285028;17069;-59308;-158209;-477306;
2024-04-19T14:45:20.812;536732117231447815;17622;-58705;-158241;-477372;
2024-04-19T14:45:20.830;536732117249610602;18252;-58134;-158054;-477317;
2024-04-19T14:45:20.848;536732117267773389;18771;-57736;-157889;-477282;
2024-04-19T14:45:20.867;536732117285936176;19299;-57245;-157708;-477332;
2024-04-19T14:45:20.885;536732117304098963;19796;-56825;-157566;-477310;
2024-04-19T14:45:20.903;536732117322261750;20334;-56438;-157269;-477334;
2024-04-19T14:45:20.921;536732117340424537;20903;-56039;-156877;-477357;
2024-04-19T14:45:20.939;536732117358587324;21402;-55931;-156237;-477328;
2024-04-19T14:45:20.957;536732117376750111;21691;-56076;-155610;-477360;
2024-04-19T14:45:20.976;536732117394912898;21695;-56475;-155095;-477417;
2024-04-19T14:45:20.994;536732117413075685;21371;-57106;-154630;-477383;
2024-04-19T14:45:21.012;536732117431238472;20957;-57872;-154179;-477429;
2024-04-19T14:45:21.030;536732117449401259;20605;-58725;-153675;-477448;
2024-04-19T14:45:21.048;536732117467564046;20313;-59457;-153285;-477475;
2024-04-19T14:45:21.066;536732117485726833;20071;-59981;-153066;-477494;
2024-04-19T14:45:21.085;536732117503889620;20033;-60264;-152792;-477535;
2024-04-19T14:45:21.103;536732117522052407;20245;-60430;-152545;-477602;
2024-04-19T14:45:21.121;536732117540215194;20621;-60405;-152363;-477663;
