Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2024-04-25T22:28:53.859;537278335152141644;-404209;-414768;-391018;-530272
2024-04-25T22:28:53.877;537278335170298963;-404194;-414865;-391024;-530278
2024-04-25T22:28:53.895;537278335188456282;-404275;-414862;-391039;-530319
2024-04-25T22:28:53.931;537278335224770920;-404266;-414879;-391012;-530326
2024-04-25T22:28:53.913;537278335206613601;-404301;-414880;-391033;-530314
2024-04-25T22:28:53.949;537278335242928239;-404298;-414861;-391049;-530333
2024-04-25T22:28:53.967;537278335261085558;-404264;-414829;-391081;-530342
2024-04-25T22:28:53.986;537278335279242877;-404260;-414783;-391010;-530312
2024-04-25T22:28:54.004;537278335297400196;-404293;-414794;-391053;-530349
2024-04-25T22:28:54.022;537278335315557515;-404317;-414889;-391077;-530352
2024-04-25T22:28:54.040;537278335333714834;-404308;-414849;-391078;-530361
2024-04-25T22:28:54.058;537278335351872153;-404268;-414878;-391068;-530334
2024-04-25T22:28:54.076;537278335370029472;-404286;-414835;-391066;-530336
2024-04-25T22:28:54.095;537278335388186791;-404291;-414793;-390990;-530364
2024-04-25T22:28:54.113;537278335406344110;-404273;-414861;-391060;-530303
2024-04-25T22:28:54.131;537278335424501429;-404357;-414963;-391166;-530319
2024-04-25T22:28:54.149;537278335442658748;-404524;-415130;-391285;-530339
2024-04-25T22:28:54.167;537278335460816067;-404599;-415208;-391404;-530309
2024-04-25T22:28:54.185;537278335478973386;-404757;-415344;-391560;-530322
2024-04-25T22:28:54.203;537278335497130705;-404964;-415530;-391804;-530367
2024-04-25T22:28:54.222;537278335515288024;-405069;-415601;-391902;-530318
2024-04-25T22:28:54.240;537278335533445343;-405163;-415734;-392080;-530343
2024-04-25T22:28:54.258;537278335551602662;-405299;-415882;-392148;-530327
2024-04-25T22:28:54.276;537278335569759981;-405405;-415915;-392304;-530384
2024-04-25T22:28:54.294;537278335587917300;-405470;-415928;-392318;-530336
2024-04-25T22:28:54.312;537278335606074619;-405519;-415992;-392365;-530329
2024-04-25T22:28:54.331;537278335624231938;-405537;-416079;-392401;-530374
2024-04-25T22:28:54.349;537278335642389257;-405565;-416102;-392437;-530335
2024-04-25T22:28:54.367;537278335660546576;-405634;-416119;-392543;-530424
2024-04-25T22:28:54.385;537278335678703895;-405665;-416127;-392569;-530328
2024-04-25T22:28:54.403;537278335696861214;-405734;-416247;-392638;-530411
2024-04-25T22:28:54.421;537278335715018533;-405831;-416312;-392693;-530328
2024-04-25T22:28:54.440;537278335733175852;-405863;-416345;-392764;-530369
2024-04-25T22:28:54.458;537278335751333171;-405980;-416421;-392824;-530348
2024-04-25T22:28:54.476;537278335769490490;-406081;-416482;-392890;-530326
2024-04-25T22:28:54.494;537278335787647809;-406102;-416585;-393005;-530356
2024-04-25T22:28:54.512;537278335805805128;-406281;-416667;-393172;-530368
2024-04-25T22:28:54.530;537278335823962447;-406322;-416726;-393223;-530402
2024-04-25T22:28:54.548;537278335842119766;-406308;-416681;-393240;-530341
2024-04-25T22:28:54.567;537278335860277085;-406266;-416748;-393295;-530349
2024-04-25T22:28:54.585;537278335878434404;-406400;-416746;-393345;-530354
2024-04-25T22:28:54.603;537278335896591723;-406374;-416776;-393335;-530298
2024-04-25T22:28:54.621;537278335914749042;-406428;-416767;-393399;-530363
2024-04-25T22:28:54.639;537278335932906403;-406420;-416752;-393370;-530331
2024-04-25T22:28:54.657;537278335951063722;-406422;-416688;-393351;-530339
2024-04-25T22:28:54.676;537278335969221041;-406408;-416810;-393358;-530314
2024-04-25T22:28:54.694;537278335987378360;-406431;-416731;-393389;-530364
2024-04-25T22:28:54.712;537278336005535679;-406461;-416725;-393341;-530357
2024-04-25T22:28:54.730;537278336023692998;-406520;-416755;-393369;-530375
2024-04-25T22:28:54.748;537278336041850317;-406421;-416677;-393306;-530312
2024-04-25T22:28:54.766;537278336060007636;-406408;-416690;-393318;-530365
2024-04-25T22:28:54.785;537278336078164955;-406416;-416681;-393288;-530324
2024-04-25T22:28:54.803;537278336096322274;-406399;-416626;-393287;-530375
2024-04-25T22:28:54.821;537278336114479593;-406359;-416622;-393318;-530317
2024-04-25T22:28:54.839;537278336132636912;-406403;-416639;-393303;-530330
2024-04-25T22:28:54.857;537278336150794231;-406383;-416577;-393267;-530366
2024-04-25T22:28:54.875;537278336168951550;-406367;-416545;-393282;-530364
2024-04-25T22:28:54.893;537278336187108869;-406385;-416594;-393306;-530326
2024-04-25T22:28:54.912;537278336205266188;-406360;-416529;-393255;-530313
2024-04-25T22:28:54.930;537278336223423507;-406372;-416521;-393231;-530291
