Phone timestamp;sensor timestamp [ns];timestamp [ms];ecg [uV]
2024-05-03T17:23:48.400;599616063054430424;0.0;4
2024-05-03T17:23:48.407;599616063062121378;7.690954;232
2024-05-03T17:23:48.415;599616063069812332;15.381908;1548
2024-05-03T17:23:48.423;599616063077503286;23.072863;3966
2024-05-03T17:23:48.430;599616063085194240;30.763817;5802
2024-05-03T17:23:48.438;599616063092885194;38.45477;6892
2024-05-03T17:23:48.446;599616063100576148;46.145725;8337
2024-05-03T17:23:48.453;599616063108267102;53.83668;9718
2024-05-03T17:23:48.461;599616063115958056;61.527634;10305
2024-05-03T17:23:48.469;599616063123649010;69.21858;10463
2024-05-03T17:23:48.476;599616063131339964;76.90954;10777
2024-05-03T17:23:48.484;599616063139030918;84.600494;11276
2024-05-03T17:23:48.492;599616063146721872;92.29145;11779
2024-05-03T17:23:48.499;599616063154412826;99.9824;12301
2024-05-03T17:23:48.507;599616063162103780;107.67336;12834
2024-05-03T17:23:48.515;599616063169794734;115.36431;13339
2024-05-03T17:23:48.523;599616063177485688;123.05527;13835
2024-05-03T17:23:48.530;599616063185176642;130.74622;14152
2024-05-03T17:23:48.538;599616063192867596;138.43716;14348
2024-05-03T17:23:48.546;599616063200558550;146.12813;14691
2024-05-03T17:23:48.553;599616063208249504;153.81908;14991
2024-05-03T17:23:48.561;599616063215940458;161.51003;15177
2024-05-03T17:23:48.569;599616063223631412;169.20099;15386
2024-05-03T17:23:48.576;599616063231322366;176.89194;15578
2024-05-03T17:23:48.584;599616063239013320;184.5829;15791
2024-05-03T17:23:48.592;599616063246704274;192.27385;16093
2024-05-03T17:23:48.599;599616063254395228;199.9648;16357
2024-05-03T17:23:48.607;599616063262086182;207.65576;16479
2024-05-03T17:23:48.615;599616063269777136;215.34673;16594
2024-05-03T17:23:48.623;599616063277468090;223.03766;16812
2024-05-03T17:23:48.630;599616063285159044;230.72862;16980
2024-05-03T17:23:48.638;599616063292849998;238.41957;17040
2024-05-03T17:23:48.646;599616063300540952;246.11053;17241
2024-05-03T17:23:48.653;599616063308231906;253.80148;17478
2024-05-03T17:23:48.661;599616063315922860;261.49243;17457
2024-05-03T17:23:48.669;599616063323613814;269.18338;17402
2024-05-03T17:23:48.676;599616063331304768;276.87433;17557
2024-05-03T17:23:48.684;599616063338995722;284.5653;17720
2024-05-03T17:23:48.692;599616063346686676;292.25626;17756
2024-05-03T17:23:48.699;599616063354377630;299.9472;17749
2024-05-03T17:23:48.707;599616063362068584;307.63815;17768
2024-05-03T17:23:48.715;599616063369759538;315.32913;17821
2024-05-03T17:23:48.723;599616063377450492;323.02005;17811
2024-05-03T17:23:48.730;599616063385141446;330.711;17773
2024-05-03T17:23:48.738;599616063392832400;338.40198;17898
2024-05-03T17:23:48.746;599616063400523354;346.09293;18003
2024-05-03T17:23:48.753;599616063408214308;353.78387;17850
2024-05-03T17:23:48.761;599616063415905262;361.47485;17739
2024-05-03T17:23:48.769;599616063423596216;369.1658;17855
2024-05-03T17:23:48.776;599616063431287170;376.85675;17919
2024-05-03T17:23:48.784;599616063438978124;384.5477;17946
2024-05-03T17:23:48.792;599616063446669078;392.23865;18020
2024-05-03T17:23:48.799;599616063454360032;399.9296;17874
2024-05-03T17:23:48.807;599616063462050986;407.62057;17632
2024-05-03T17:23:48.815;599616063469741940;415.31152;17557
2024-05-03T17:23:48.823;599616063477432894;423.00247;17545
2024-05-03T17:23:48.830;599616063485123848;430.69345;17581
2024-05-03T17:23:48.838;599616063492814802;438.38437;17574
2024-05-03T17:23:48.846;599616063500505756;446.07532;17378
2024-05-03T17:23:48.853;599616063508196710;453.76627;17251
2024-05-03T17:23:48.861;599616063515887664;461.45724;17310
2024-05-03T17:23:48.869;599616063523578618;469.1482;17275
2024-05-03T17:23:48.876;599616063531269572;476.83914;17140
2024-05-03T17:23:48.884;599616063538960526;484.53012;17090
2024-05-03T17:23:48.892;599616063546651480;492.22107;17042
2024-05-03T17:23:48.899;599616063554342434;499.912;16908
2024-05-03T17:23:48.907;599616063562033388;507.60297;16781
2024-05-03T17:23:48.915;599616063569724342;515.29395;16826
2024-05-03T17:23:48.922;599616063577415296;522.98486;16913
2024-05-03T17:23:48.930;599616063585106250;530.67584;16680
2024-05-03T17:23:48.938;599616063592797204;538.36676;16323
2024-05-03T17:23:48.946;599616063600488158;546.05774;16254
2024-05-03T17:23:48.953;599616063608179112;553.74866;16268
2024-05-03T17:23:48.961;599616063615900166;561.4698;16098
2024-05-03T17:23:48.969;599616063623590702;569.1603;15947
2024-05-03T17:23:48.976;599616063631281238;576.8508;15918
2024-05-03T17:23:48.984;599616063638971774;584.5414;15820
2024-05-03T17:23:48.992;599616063646662310;592.2319;15690
2024-05-03T17:23:48.999;599616063654352846;599.9224;15633
2024-05-03T17:23:49.007;599616063662043382;607.6129;15532
2024-05-03T17:23:49.015;599616063669733918;615.30347;15489
2024-05-03T17:23:49.022;599616063677424454;622.994;15535
2024-05-03T17:23:49.030;599616063685114990;630.6846;15283
2024-05-03T17:23:49.038;599616063692805526;638.3751;14895
2024-05-03T17:23:49.046;599616063700496062;646.0657;14705
2024-05-03T17:23:49.053;599616063708186598;653.75616;14360
2024-05-03T17:23:49.061;599616063715877134;661.4467;14015
2024-05-03T17:23:49.069;599616063723567670;669.1372;14015
2024-05-03T17:23:49.076;599616063731258206;676.82776;13941
2024-05-03T17:23:49.084;599616063738948742;684.5183;13665
2024-05-03T17:23:49.092;599616063746639278;692.20886;13541
2024-05-03T17:23:49.099;599616063754329814;699.8994;13622
2024-05-03T17:23:49.107;599616063762020350;707.58997;13804
2024-05-03T17:23:49.115;599616063769710886;715.28046;14015
2024-05-03T17:23:49.122;599616063777401422;722.971;14041
2024-05-03T17:23:49.130;599616063785091958;730.6615;13660
2024-05-03T17:23:49.138;599616063792782494;738.35205;13042
2024-05-03T17:23:49.146;599616063800473030;746.0426;12673
2024-05-03T17:23:49.153;599616063808163566;753.7331;12623
2024-05-03T17:23:49.161;599616063815854102;761.4237;12563
2024-05-03T17:23:49.169;599616063823544638;769.11426;12359
2024-05-03T17:23:49.176;599616063831235174;776.80475;12172
2024-05-03T17:23:49.184;599616063838925710;784.4953;12100
2024-05-03T17:23:49.192;599616063846616246;792.1858;12057
2024-05-03T17:23:49.199;599616063854306782;799.87634;11961
2024-05-03T17:23:49.207;599616063861997318;807.5669;11798
2024-05-03T17:23:49.215;599616063869687854;815.2574;11647
2024-05-03T17:23:49.222;599616063877378390;822.948;11573
2024-05-03T17:23:49.230;599616063885068926;830.63855;11465
2024-05-03T17:23:49.238;599616063892759462;838.32904;11300
2024-05-03T17:23:49.246;599616063900449998;846.0196;11237
2024-05-03T17:23:49.253;599616063908140534;853.7101;11197
2024-05-03T17:23:49.261;599616063915831070;861.40063;11000
2024-05-03T17:23:49.269;599616063923521606;869.0912;10811
2024-05-03T17:23:49.276;599616063931212142;876.7817;10801
2024-05-03T17:23:49.284;599616063938902678;884.4722;10789
2024-05-03T17:23:49.292;599616063946593214;892.16284;10593
2024-05-03T17:23:49.299;599616063954283750;899.85333;10367
2024-05-03T17:23:49.307;599616063961974286;907.5439;10272
2024-05-03T17:23:49.315;599616063969664822;915.2344;10200
2024-05-03T17:23:49.322;599616063977355358;922.9249;10049
2024-05-03T17:23:49.330;599616063985045894;930.6155;9910
