Phone timestamp;sensor timestamp [ns];timestamp [ms];ecg [uV]
2024-05-16T23:23:16.076;599616561632368014;0.0;2594
2024-05-16T23:23:16.083;599616561640059386;7.691372;3811
2024-05-16T23:23:16.091;599616561647750758;15.382744;4486
2024-05-16T23:23:16.099;599616561655442130;23.074116;5325
2024-05-16T23:23:16.106;599616561663133502;30.765488;6199
2024-05-16T23:23:16.114;599616561670824874;38.45686;6796
2024-05-16T23:23:16.122;599616561678516246;46.14823;7276
2024-05-16T23:23:16.129;599616561686207618;53.839603;7846
2024-05-16T23:23:16.137;599616561693898990;61.530975;8416
2024-05-16T23:23:16.145;599616561701590362;69.22235;8887
2024-05-16T23:23:16.152;599616561709281734;76.91372;9341
2024-05-16T23:23:16.160;599616561716973106;84.60509;9795
2024-05-16T23:23:16.168;599616561724664478;92.29646;10180
2024-05-16T23:23:16.175;599616561732355850;99.98784;10546
2024-05-16T23:23:16.183;599616561740047222;107.67921;10973
2024-05-16T23:23:16.191;599616561747738594;115.370575;11351
2024-05-16T23:23:16.199;599616561755429966;123.06195;11596
2024-05-16T23:23:16.206;599616561763121338;130.75333;11876
2024-05-16T23:23:16.214;599616561770812710;138.4447;12252
2024-05-16T23:23:16.222;599616561778504082;146.13606;12568
2024-05-16T23:23:16.229;599616561786195454;153.82744;12822
2024-05-16T23:23:16.237;599616561793886826;161.51881;13095
2024-05-16T23:23:16.245;599616561801578198;169.21017;13352
2024-05-16T23:23:16.252;599616561809269570;176.90155;13573
2024-05-16T23:23:16.260;599616561816960942;184.59293;13761
2024-05-16T23:23:16.268;599616561824652314;192.2843;13986
2024-05-16T23:23:16.275;599616561832343686;199.97568;14279
2024-05-16T23:23:16.283;599616561840035058;207.66704;14469
2024-05-16T23:23:16.291;599616561847726430;215.35841;14514
2024-05-16T23:23:16.299;599616561855417802;223.04979;14666
2024-05-16T23:23:16.306;599616561863109174;230.74115;14918
2024-05-16T23:23:16.314;599616561870800546;238.43253;15046
2024-05-16T23:23:16.322;599616561878491918;246.1239;15127
2024-05-16T23:23:16.329;599616561886183290;253.81528;15282
2024-05-16T23:23:16.337;599616561893874662;261.50665;15396
2024-05-16T23:23:16.345;599616561901566034;269.19803;15498
2024-05-16T23:23:16.352;599616561909257406;276.8894;15685
2024-05-16T23:23:16.360;599616561916948778;284.58078;15826
2024-05-16T23:23:16.368;599616561924640150;292.27213;15802
2024-05-16T23:23:16.375;599616561932331522;299.96353;15704
2024-05-16T23:23:16.383;599616561940022894;307.65488;15669
2024-05-16T23:23:16.391;599616561947714266;315.34625;15759
2024-05-16T23:23:16.399;599616561955405638;323.03763;15859
2024-05-16T23:23:16.406;599616561963097010;330.729;15835
2024-05-16T23:23:16.414;599616561970788382;338.42035;15838
2024-05-16T23:23:16.422;599616561978479754;346.11176;15940
2024-05-16T23:23:16.429;599616561986171126;353.8031;15933
2024-05-16T23:23:16.437;599616561993862498;361.4945;15809
2024-05-16T23:23:16.445;599616562001553870;369.18585;15745
2024-05-16T23:23:16.452;599616562009245242;376.87723;15857
2024-05-16T23:23:16.460;599616562016936614;384.5686;16208
2024-05-16T23:23:16.468;599616562024627986;392.25998;16636
2024-05-16T23:23:16.475;599616562032319358;399.95135;16783
2024-05-16T23:23:16.483;599616562040010730;407.64273;16444
2024-05-16T23:23:16.491;599616562047702102;415.33408;15845
2024-05-16T23:23:16.499;599616562055393474;423.02548;15548
2024-05-16T23:23:16.506;599616562063084846;430.71683;15693
2024-05-16T23:23:16.514;599616562070776218;438.4082;15771
2024-05-16T23:23:16.522;599616562078467590;446.09958;15557
2024-05-16T23:23:16.529;599616562086158962;453.79095;15415
2024-05-16T23:23:16.537;599616562093850334;461.4823;15379
2024-05-16T23:23:16.545;599616562101541706;469.1737;15270
2024-05-16T23:23:16.552;599616562109233078;476.86505;15201
2024-05-16T23:23:16.560;599616562116924450;484.55646;15125
2024-05-16T23:23:16.568;599616562124615822;492.2478;14975
2024-05-16T23:23:16.575;599616562132307194;499.93918;14932
2024-05-16T23:23:16.583;599616562139998566;507.63055;14904
2024-05-16T23:23:16.591;599616562147689938;515.3219;14766
2024-05-16T23:23:16.599;599616562155381310;523.0133;14771
2024-05-16T23:23:16.606;599616562163072682;530.70465;14861
2024-05-16T23:23:16.614;599616562170764054;538.39606;14785
2024-05-16T23:23:16.622;599616562178455426;546.0874;14573
2024-05-16T23:23:16.629;599616562186146798;553.7788;14300
2024-05-16T23:23:16.637;599616562193838178;561.47015;14184
2024-05-16T23:23:16.645;599616562201529550;569.16156;14184
2024-05-16T23:23:16.652;599616562209220922;576.8529;14041
2024-05-16T23:23:16.660;599616562216912294;584.54425;13879
2024-05-16T23:23:16.668;599616562224603666;592.23566;13839
2024-05-16T23:23:16.675;599616562232295038;599.92706;13730
2024-05-16T23:23:16.683;599616562239986410;607.61835;13561
2024-05-16T23:23:16.691;599616562247677782;615.30975;13599
2024-05-16T23:23:16.699;599616562255369154;623.00116;13637
2024-05-16T23:23:16.706;599616562263060526;630.6925;13295
2024-05-16T23:23:16.714;599616562270751898;638.38385;12957
2024-05-16T23:23:16.722;599616562278443270;646.07526;12984
2024-05-16T23:23:16.729;599616562286134642;653.76666;12986
2024-05-16T23:23:16.737;599616562293826014;661.458;12817
2024-05-16T23:23:16.745;599616562301517386;669.14935;12701
2024-05-16T23:23:16.752;599616562309208758;676.84076;12627
2024-05-16T23:23:16.760;599616562316900130;684.5321;12525
2024-05-16T23:23:16.768;599616562324591502;692.2235;12394
2024-05-16T23:23:16.775;599616562332282874;699.91486;12299
2024-05-16T23:23:16.783;599616562339974246;707.6062;12292
2024-05-16T23:23:16.791;599616562347665618;715.2976;12216
2024-05-16T23:23:16.798;599616562355356990;722.989;11993
2024-05-16T23:23:16.806;599616562363048362;730.6803;11864
2024-05-16T23:23:16.814;599616562370739734;738.3717;11867
2024-05-16T23:23:16.822;599616562378431106;746.0631;11784
2024-05-16T23:23:16.829;599616562386122478;753.7545;11634
2024-05-16T23:23:16.837;599616562393813850;761.4458;11532
2024-05-16T23:23:16.845;599616562401505222;769.1372;11451
2024-05-16T23:23:16.852;599616562409196594;776.8286;11368
2024-05-16T23:23:16.860;599616562416887966;784.51996;11249
2024-05-16T23:23:16.868;599616562424579338;792.2113;11094
2024-05-16T23:23:16.875;599616562432270710;799.9027;10976
2024-05-16T23:23:16.883;599616562439962082;807.59406;10850
2024-05-16T23:23:16.891;599616562447653454;815.28546;10671
2024-05-16T23:23:16.898;599616562455344826;822.9768;10560
2024-05-16T23:23:16.906;599616562463036198;830.66815;10517
2024-05-16T23:23:16.914;599616562470727570;838.35956;10403
2024-05-16T23:23:16.922;599616562478418942;846.05096;10268
2024-05-16T23:23:16.929;599616562486110314;853.74225;10199
2024-05-16T23:23:16.937;599616562493801686;861.43365;10106
2024-05-16T23:23:16.945;599616562501493058;869.12506;9947
2024-05-16T23:23:16.952;599616562509184430;876.8164;9780
2024-05-16T23:23:16.960;599616562516875802;884.50775;9704
2024-05-16T23:23:16.968;599616562524567174;892.19916;9826
2024-05-16T23:23:16.975;599616562532258546;899.89056;10123
2024-05-16T23:23:16.983;599616562539949918;907.5819;10358
2024-05-16T23:23:16.991;599616562547641290;915.27325;10208
2024-05-16T23:23:16.998;599616562555332662;922.96466;9602
2024-05-16T23:23:17.006;599616562563024034;930.656;9060
2024-05-16T23:23:17.014;599616562570715406;938.3474;8994
2024-05-16T23:23:17.022;599616562578406778;946.03876;9039
2024-05-16T23:23:17.029;599616562586098150;953.7301;8844
2024-05-16T23:23:17.037;599616562593789522;961.4215;8630
2024-05-16T23:23:17.045;599616562601480894;969.1129;8568
2024-05-16T23:23:17.052;599616562609172266;976.8042;8483
2024-05-16T23:23:17.060;599616562616863638;984.4956;8328
2024-05-16T23:23:17.068;599616562624555010;992.187;8191
2024-05-16T23:23:17.075;599616562632246382;999.8784;8074
2024-05-16T23:23:17.083;599616562639937754;1007.5697;8003
2024-05-16T23:23:17.091;599616562647629126;1015.2611;7974
2024-05-16T23:23:17.098;599616562655320498;1022.9525;7886
2024-05-16T23:23:17.106;599616562663011870;1030.6438;7727
2024-05-16T23:23:17.114;599616562670703242;1038.3352;7611
