Phone timestamp;HR [bpm];HRV [ms];
2024-05-02T10:25:09.590;76
2024-05-02T10:25:10.619;76
2024-05-02T10:25:11.619;76
2024-05-02T10:25:12.592;76
2024-05-02T10:25:13.613;77
2024-05-02T10:25:14.598;77;69,7
2024-05-02T10:25:15.591;77;62,3
2024-05-02T10:25:16.647;78;52,9
2024-05-02T10:25:17.604;79;49,5
2024-05-02T10:25:18.599;79;46,6
2024-05-02T10:25:19.614;79;44,2
2024-05-02T10:25:20.619;79;40,4
2024-05-02T10:25:21.607;79;38,8
2024-05-02T10:25:22.618;79;37,5
2024-05-02T10:25:23.598;79;35,1
2024-05-02T10:25:24.609;79;34,1
2024-05-02T10:25:25.619;79;32,9
2024-05-02T10:25:26.608;80;32,7
2024-05-02T10:25:27.588;81;31,9
2024-05-02T10:25:28.627;81;30,7
2024-05-02T10:25:29.603;81;30,1
2024-05-02T10:25:30.611;81;29,6
2024-05-02T10:25:31.620;80;28,6
2024-05-02T10:25:32.603;80;28,0
2024-05-02T10:25:33.614;80;27,7
2024-05-02T10:25:34.630;81;27,7
2024-05-02T10:25:35.631;82;13,5
2024-05-02T10:25:36.598;84;13,6
2024-05-02T10:25:37.630;85;13,4
2024-05-02T10:25:38.619;86;13,4
2024-05-02T10:25:39.610;86;14,4
2024-05-02T10:25:40.626;86;14,5
2024-05-02T10:25:41.599;86;14,8
2024-05-02T10:25:42.609;85;14,8
2024-05-02T10:25:43.620;85;14,7
2024-05-02T10:25:44.607;84;15,0
2024-05-02T10:25:45.596;83;17,7
2024-05-02T10:25:46.630;81;19,5
2024-05-02T10:25:47.608;80;18,9
2024-05-02T10:25:48.614;79;18,1
2024-05-02T10:25:49.645;78;18,1
2024-05-02T10:25:50.603;77;18,4
2024-05-02T10:25:51.611;76;18,3
2024-05-02T10:25:52.612;75;18,2
2024-05-02T10:25:53.617;75;18,2
2024-05-02T10:25:54.597;74;18,1
2024-05-02T10:25:55.611;74;18,9
2024-05-02T10:25:56.606;74;18,9
2024-05-02T10:25:57.611;74;23,5
2024-05-02T10:25:58.620;75;22,4
2024-05-02T10:25:59.607;76;21,7
2024-05-02T10:26:00.600;74;26,6
2024-05-02T10:26:01.629;74;27,1
2024-05-02T10:26:02.621;73;27,1
2024-05-02T10:26:03.600;73;26,6
2024-05-02T10:26:04.612;72;26,6
2024-05-02T10:26:05.605;72;28,1
2024-05-02T10:26:06.610;72;28,9
2024-05-02T10:26:07.619;72;28,8
2024-05-02T10:26:08.605;72;28,7
2024-05-02T10:26:09.598;73;27,4
2024-05-02T10:26:10.629;74;26,2
2024-05-02T10:26:11.621;74;26,1
2024-05-02T10:26:12.595;74;27,5
2024-05-02T10:26:13.614;73;27,5
2024-05-02T10:26:14.620;73;27,8
2024-05-02T10:26:15.611;73;27,9
2024-05-02T10:26:16.620;72;27,9
2024-05-02T10:26:17.606;71;27,9
2024-05-02T10:26:18.613;71;27,9
2024-05-02T10:26:19.631;71;28,9
2024-05-02T10:26:20.609;71;28,2
2024-05-02T10:26:21.604;71;24,4
2024-05-02T10:26:22.643;71;24,4
2024-05-02T10:26:23.608;71;24,5
2024-05-02T10:26:24.609;71;24,0
2024-05-02T10:26:25.631;71;19,4
2024-05-02T10:26:26.604;71;18,9
2024-05-02T10:26:27.602;70;18,9
2024-05-02T10:26:28.630;70;19,5
2024-05-02T10:26:29.602;69;19,5
2024-05-02T10:26:30.643;69;18,0
2024-05-02T10:26:31.618;69;18,1
2024-05-02T10:26:32.651;70;18,1
2024-05-02T10:26:33.591;69;18,1
2024-05-02T10:26:34.630;69;17,5
2024-05-02T10:26:35.612;70;17,9
