Phone timestamp;HR [bpm];HRV [ms];
2024-05-02T17:58:37.094;70
2024-05-02T17:58:38.115;70
2024-05-02T17:58:39.111;71
2024-05-02T17:58:40.094;71
2024-05-02T17:58:41.102;70;27,4
2024-05-02T17:58:42.079;70;24,5
2024-05-02T17:58:43.097;70;22,7
2024-05-02T17:58:44.090;69;22,0
2024-05-02T17:58:45.086;68;19,4
2024-05-02T17:58:46.102;68;18,4
2024-05-02T17:58:47.093;68;17,7
2024-05-02T17:58:48.082;68;18,6
2024-05-02T17:58:49.113;68;17,9
2024-05-02T17:58:50.094;68;17,5
2024-05-02T17:58:51.081;68;17,0
2024-05-02T17:58:52.099;68;16,5
2024-05-02T17:58:53.092;68;16,1
2024-05-02T17:58:54.086;67;15,2
2024-05-02T17:58:55.102;67;16,4
2024-05-02T17:58:56.091;68;16,3
2024-05-02T17:58:57.073;68;16,2
2024-05-02T17:58:58.114;68;15,9
2024-05-02T17:58:59.097;68;15,5
2024-05-02T17:59:00.077;68;15,5
2024-05-02T17:59:01.099;67;15,6
2024-05-02T17:59:02.103;67;15,3
2024-05-02T17:59:03.086;67;15,1
2024-05-02T17:59:04.114;67;15,0
2024-05-02T17:59:05.091;67;14,9
2024-05-02T17:59:06.082;67;13,4
2024-05-02T17:59:07.102;67;11,8
2024-05-02T17:59:08.114;67;11,9
2024-05-02T17:59:09.113;67;11,7
2024-05-02T17:59:10.103;68;13,7
2024-05-02T17:59:11.134;68;15,6
2024-05-02T17:59:12.110;68;15,6
2024-05-02T17:59:13.112;68;15,6
2024-05-02T17:59:14.092;68;14,8
2024-05-02T17:59:15.073;68;14,8
2024-05-02T17:59:16.101;68;15,4
2024-05-02T17:59:17.105;68;15,3
2024-05-02T17:59:18.082;67;15,3
2024-05-02T17:59:19.102;67;15,3
2024-05-02T17:59:20.094;67;15,2
2024-05-02T17:59:21.087;67;14,1
2024-05-02T17:59:22.111;66;13,9
2024-05-02T17:59:23.093;66;13,7
2024-05-02T17:59:24.082;66;15,5
2024-05-02T17:59:25.115;65;15,8
2024-05-02T17:59:26.104;65;16,2
2024-05-02T17:59:27.093;64;16,1
2024-05-02T17:59:28.102;64;16,1
2024-05-02T17:59:29.117;64;16,1
2024-05-02T17:59:30.084;64;15,9
2024-05-02T17:59:31.102;63;16,0
2024-05-02T17:59:32.094;63;15,8
2024-05-02T17:59:33.082;62;15,8
2024-05-02T17:59:34.114;62;16,8
2024-05-02T17:59:35.091;62;18,4
2024-05-02T17:59:36.082;62;18,4
2024-05-02T17:59:37.103;62;20,3
2024-05-02T17:59:38.097;62;18,8
2024-05-02T17:59:39.086;61;18,3
2024-05-02T17:59:40.102;61;18,3
2024-05-02T17:59:41.102;61;18,3
2024-05-02T17:59:42.081;61;19,2
2024-05-02T17:59:43.114;61;19,4
2024-05-02T17:59:44.088;61;18,8
