Phone timestamp;HR [bpm];HRV [ms];
2024-05-03T16:07:49.298;80
2024-05-03T16:07:50.290;78
2024-05-03T16:07:51.330;77
2024-05-03T16:07:52.320;77;4,7
2024-05-03T16:07:53.297;77;31,3
2024-05-03T16:07:54.318;77;29,9
2024-05-03T16:07:55.330;79;29,3
2024-05-03T16:07:56.295;79;27,8
2024-05-03T16:07:57.320;80;26,5
2024-05-03T16:07:58.306;80;27,3
2024-05-03T16:07:59.289;80;26,3
2024-05-03T16:08:00.331;78;29,4
2024-05-03T16:08:01.310;78;28,5
2024-05-03T16:08:02.294;77;27,6
2024-05-03T16:08:03.319;78;28,6
2024-05-03T16:08:04.326;78;30,8
2024-05-03T16:08:05.309;80;29,4
2024-05-03T16:08:06.349;80;28,7
2024-05-03T16:08:07.341;81;28,1
2024-05-03T16:08:08.326;81;27,6
2024-05-03T16:08:09.316;80;30,3
2024-05-03T16:08:10.322;78;30,1
2024-05-03T16:08:11.313;78;29,6
2024-05-03T16:08:12.319;77;29,6
2024-05-03T16:08:13.325;76;29,6
2024-05-03T16:08:14.312;76;29,7
2024-05-03T16:08:15.314;76;26,8
2024-05-03T16:08:16.311;77;26,8
2024-05-03T16:08:17.293;77;26,6
2024-05-03T16:08:18.349;77;25,6
2024-05-03T16:08:19.307;76;28,2
2024-05-03T16:08:20.311;75;29,0
2024-05-03T16:08:21.319;75;28,3
2024-05-03T16:08:22.307;74;26,6
2024-05-03T16:08:23.310;75;27,1
2024-05-03T16:08:24.331;77;31,4
2024-05-03T16:08:25.321;78;31,5
2024-05-03T16:08:26.300;81;28,2
2024-05-03T16:08:27.332;81;28,2
2024-05-03T16:08:28.322;82;28,4
2024-05-03T16:08:29.312;82;28,5
2024-05-03T16:08:30.318;82;28,8
2024-05-03T16:08:31.305;82;26,4
2024-05-03T16:08:32.312;80;25,4
2024-05-03T16:08:33.330;80;25,4
2024-05-03T16:08:34.325;81;26,8
2024-05-03T16:08:35.293;81;26,8
2024-05-03T16:08:36.332;81;26,7
2024-05-03T16:08:37.321;82;26,3
2024-05-03T16:08:38.311;82;26,0
2024-05-03T16:08:39.312;81;26,1
2024-05-03T16:08:40.338;81;26,7
2024-05-03T16:08:41.340;78;29,8
2024-05-03T16:08:42.335;77;29,2
2024-05-03T16:08:43.304;75;29,2
2024-05-03T16:08:44.297;74;29,2
2024-05-03T16:08:45.310;74;28,9
2024-05-03T16:08:46.310;74;25,3
2024-05-03T16:08:47.289;74;26,0
2024-05-03T16:08:48.319;75;27,0
2024-05-03T16:08:49.309;75;27,0
2024-05-03T16:08:50.300;76;27,0
2024-05-03T16:08:51.334;75;29,4
2024-05-03T16:08:52.321;74;31,5
2024-05-03T16:08:53.302;72;33,1
2024-05-03T16:08:54.311;71;32,8
2024-05-03T16:08:55.311;71;32,3
2024-05-03T16:08:56.312;70;33,7
2024-05-03T16:08:57.332;70;34,7
2024-05-03T16:08:58.310;71;35,3
2024-05-03T16:08:59.317;72;35,4
2024-05-03T16:09:00.331;72;35,4
2024-05-03T16:09:01.320;73;35,4
2024-05-03T16:09:02.300;73;35,4
2024-05-03T16:09:03.334;73;35,8
2024-05-03T16:09:04.321;73;36,5
2024-05-03T16:09:05.312;72;33,0
2024-05-03T16:09:06.361;72;31,9
2024-05-03T16:09:07.310;71;31,8
2024-05-03T16:09:08.315;71;31,8
2024-05-03T16:09:09.329;71;31,0
2024-05-03T16:09:10.321;72;31,6
2024-05-03T16:09:11.296;72;31,0
2024-05-03T16:09:12.315;72;30,1
2024-05-03T16:09:13.340;72;29,0
2024-05-03T16:09:14.331;72;29,2
2024-05-03T16:09:15.320;72;26,8
2024-05-03T16:09:16.311;72;24,0
2024-05-03T16:09:17.315;72;22,8
2024-05-03T16:09:18.322;71;22,1
2024-05-03T16:09:19.321;71;22,1
2024-05-03T16:09:20.300;71;19,7
2024-05-03T16:09:21.315;71;19,6
2024-05-03T16:09:22.311;71;18,0
2024-05-03T16:09:23.310;71;14,3
2024-05-03T16:09:24.313;71;14,4
2024-05-03T16:09:25.308;71;14,8
