Phone timestamp;HR [bpm];HRV [ms];
2024-05-04T09:29:54.472;84
2024-05-04T09:29:55.462;84
2024-05-04T09:29:56.453;83
2024-05-04T09:29:57.457;83
2024-05-04T09:29:58.430;81
2024-05-04T09:29:59.466;79
2024-05-04T09:30:00.448;76;17,1
2024-05-04T09:30:01.438;74;15,6
2024-05-04T09:30:02.469;74;15,4
2024-05-04T09:30:03.444;74;14,4
2024-05-04T09:30:04.453;72;21,5
2024-05-04T09:30:05.456;72;20,9
2024-05-04T09:30:06.442;72;22,6
2024-05-04T09:30:07.452;71;22,8
2024-05-04T09:30:08.468;71;22,0
2024-05-04T09:30:09.449;71;21,2
2024-05-04T09:30:10.430;71;20,6
2024-05-04T09:30:11.469;70;19,9
2024-05-04T09:30:12.460;70;19,4
2024-05-04T09:30:13.441;70;20,8
2024-05-04T09:30:14.459;70;20,9
2024-05-04T09:30:15.461;69;23,4
2024-05-04T09:30:16.452;70;25,4
2024-05-04T09:30:17.460;69;25,3
2024-05-04T09:30:18.448;69;28,9
2024-05-04T09:30:19.430;69;28,7
2024-05-04T09:30:20.467;69;32,0
2024-05-04T09:30:21.462;69;34,8
2024-05-04T09:30:22.443;68;34,4
2024-05-04T09:30:23.488;69;34,2
2024-05-04T09:30:24.440;68;34,5
2024-05-04T09:30:25.448;68;34,5
2024-05-04T09:30:26.456;67;34,5
2024-05-04T09:30:27.488;68;37,2
2024-05-04T09:30:28.464;69;37,8
2024-05-04T09:30:29.459;70;36,6
2024-05-04T09:30:30.463;71;36,9
2024-05-04T09:30:31.452;73;36,1
2024-05-04T09:30:32.459;73;36,8
2024-05-04T09:30:33.440;73;36,8
2024-05-04T09:30:34.447;73;36,9
2024-05-04T09:30:35.448;73;36,9
2024-05-04T09:30:36.451;73;36,9
2024-05-04T09:30:37.439;72;37,3
2024-05-04T09:30:38.460;72;36,7
2024-05-04T09:30:39.460;71;36,5
2024-05-04T09:30:40.449;71;35,2
2024-05-04T09:30:41.458;70;33,8
2024-05-04T09:30:42.444;70;33,5
2024-05-04T09:30:43.449;70;31,4
2024-05-04T09:30:44.472;69;32,3
2024-05-04T09:30:45.451;69;28,9
2024-05-04T09:30:46.434;69;25,8
2024-05-04T09:30:47.452;69;25,5
2024-05-04T09:30:48.464;69;25,2
2024-05-04T09:30:49.452;68;24,3
2024-05-04T09:30:50.460;67;24,3
2024-05-04T09:30:51.443;67;26,4
2024-05-04T09:30:52.450;66;26,3
2024-05-04T09:30:53.469;66;22,2
2024-05-04T09:30:54.449;66;21,2
2024-05-04T09:30:55.436;67;21,2
2024-05-04T09:30:56.471;67;20,5
2024-05-04T09:30:57.457;66;21,0
2024-05-04T09:30:58.446;66;21,0
2024-05-04T09:30:59.450;66;19,3
2024-05-04T09:31:00.480;66;19,3
2024-05-04T09:31:01.481;66;19,6
2024-05-04T09:31:02.471;66;19,6
2024-05-04T09:31:03.442;66;19,2
2024-05-04T09:31:04.440;66;19,4
2024-05-04T09:31:05.472;66;20,4
2024-05-04T09:31:06.445;67;20,3
2024-05-04T09:31:07.451;67;20,3
2024-05-04T09:31:08.468;67;20,3
2024-05-04T09:31:09.449;67;18,8
2024-05-04T09:31:10.440;67;16,8
2024-05-04T09:31:11.501;67;18,5
2024-05-04T09:31:12.460;67;17,3
2024-05-04T09:31:13.467;67;17,8
2024-05-04T09:31:14.457;68;18,3
