Phone timestamp;HR [bpm];HRV [ms];
2024-05-08T19:07:11.528;65
2024-05-08T19:07:12.551;65
2024-05-08T19:07:13.573;65
2024-05-08T19:07:14.566;65
2024-05-08T19:07:15.578;65
2024-05-08T19:07:16.559;65
2024-05-08T19:07:17.549;65;1100,3
2024-05-08T19:07:18.557;65;1364,3
2024-05-08T19:07:19.542;65;1153,1
2024-05-08T19:07:20.547;66;1078,6
2024-05-08T19:07:21.570;67;964,8
2024-05-08T19:07:22.587;68;919,9
2024-05-08T19:07:23.537;72;880,8
2024-05-08T19:07:24.551;77;846,2
2024-05-08T19:07:25.559;83;787,8
2024-05-08T19:07:26.536;82;763,3
2024-05-08T19:07:27.567;75;742,1
2024-05-08T19:07:28.543;74;721,2
2024-05-08T19:07:29.548;73;701,9
2024-05-08T19:07:30.557;72;667,7
2024-05-08T19:07:31.558;72;652,4
2024-05-08T19:07:32.530;72;638,1
2024-05-08T19:07:33.548;73;624,7
2024-05-08T19:07:34.560;74;600,2
2024-05-08T19:07:35.547;74;589,0
2024-05-08T19:07:36.552;75;578,4
2024-05-08T19:07:37.549;75;568,3
2024-05-08T19:07:38.547;75;530,3
2024-05-08T19:07:39.555;74;489,3
2024-05-08T19:07:40.561;73;395,1
2024-05-08T19:07:41.538;73;46,0
2024-05-08T19:07:42.552;72;46,0
2024-05-08T19:07:43.546;72;46,0
2024-05-08T19:07:44.548;72;45,6
2024-05-08T19:07:45.561;72;45,5
2024-05-08T19:07:46.577;72;45,8
2024-05-08T19:07:47.562;73;46,7
2024-05-08T19:07:48.552;73;46,7
2024-05-08T19:07:49.558;73;46,7
2024-05-08T19:07:50.537;72;45,2
2024-05-08T19:07:51.557;72;25,7
2024-05-08T19:07:52.541;71;25,7
2024-05-08T19:07:53.548;71;25,9
2024-05-08T19:07:54.572;72;26,2
2024-05-08T19:07:55.542;72;26,4
2024-05-08T19:07:56.531;74;26,0
2024-05-08T19:07:57.569;75;26,0
2024-05-08T19:07:58.557;76;25,8
2024-05-08T19:07:59.538;77;25,8
2024-05-08T19:08:00.559;78;25,9
2024-05-08T19:08:01.565;78;25,3
2024-05-08T19:08:02.548;78;24,8
2024-05-08T19:08:03.571;77;29,0
2024-05-08T19:08:04.546;76;30,5
2024-05-08T19:08:05.529;75;32,1
2024-05-08T19:08:06.568;74;32,1
2024-05-08T19:08:07.559;72;31,9
2024-05-08T19:08:08.538;72;32,4
2024-05-08T19:08:09.557;72;33,1
2024-05-08T19:08:10.566;72;32,1
2024-05-08T19:08:11.548;73;32,6
2024-05-08T19:08:12.555;75;29,3
2024-05-08T19:08:13.546;76;28,8
2024-05-08T19:08:14.531;77;28,9
2024-05-08T19:08:15.558;79;29,0
2024-05-08T19:08:16.558;80;28,8
2024-05-08T19:08:17.548;80;28,6
2024-05-08T19:08:18.557;79;34,9
2024-05-08T19:08:19.575;73;45,7
2024-05-08T19:08:20.578;71;45,5
2024-05-08T19:08:21.570;70;45,6
2024-05-08T19:08:22.548;69;45,6
2024-05-08T19:08:23.534;68;45,8
2024-05-08T19:08:24.575;68;45,8
2024-05-08T19:08:25.541;68;46,4
2024-05-08T19:08:26.550;70;48,3
2024-05-08T19:08:27.557;70;45,8
2024-05-08T19:08:28.540;71;44,8
2024-05-08T19:08:29.547;72;43,6
2024-05-08T19:08:30.569;72;43,6
2024-05-08T19:08:31.546;72;43,6
2024-05-08T19:08:32.533;72;43,8
2024-05-08T19:08:33.550;71;43,3
2024-05-08T19:08:34.558;71;43,0
2024-05-08T19:08:35.553;71;43,0
2024-05-08T19:08:36.555;70;42,6
2024-05-08T19:08:37.539;70;42,5
2024-05-08T19:08:38.549;70;42,0
2024-05-08T19:08:39.572;70;42,7
2024-05-08T19:08:40.545;70;42,6
2024-05-08T19:08:41.537;70;42,6
2024-05-08T19:08:42.570;70;42,7
2024-05-08T19:08:43.558;70;36,9
2024-05-08T19:08:44.539;69;21,8
2024-05-08T19:08:45.569;69;21,9
2024-05-08T19:08:46.539;69;21,5
2024-05-08T19:08:47.536;68;21,3
2024-05-08T19:08:48.570;68;21,0
2024-05-08T19:08:49.546;68;20,9
2024-05-08T19:08:50.536;68;20,5
2024-05-08T19:08:51.549;69;15,4
2024-05-08T19:08:52.593;69;15,5
2024-05-08T19:08:53.561;70;15,5
2024-05-08T19:08:54.568;70;15,4
2024-05-08T19:08:55.546;70;15,7
2024-05-08T19:08:56.548;70;15,8
2024-05-08T19:08:57.552;69;13,8
