Phone timestamp;HR [bpm];HRV [ms];
2024-05-08T19:13:54.013;77
2024-05-08T19:13:55.003;77
2024-05-08T19:13:55.996;76
2024-05-08T19:13:57.014;76;10,5
2024-05-08T19:13:58.009;76;13,3
2024-05-08T19:13:58.993;76;12,5
2024-05-08T19:14:00.017;75;11,5
2024-05-08T19:14:01.003;75;18,6
2024-05-08T19:14:02.001;74;17,8
2024-05-08T19:14:03.019;73;17,6
2024-05-08T19:14:04.002;72;16,5
2024-05-08T19:14:04.998;71;15,9
2024-05-08T19:14:06.017;71;15,8
2024-05-08T19:14:07.004;70;15,3
2024-05-08T19:14:07.997;70;14,8
2024-05-08T19:14:09.015;70;16,0
2024-05-08T19:14:10.005;71;17,0
2024-05-08T19:14:10.998;71;16,7
2024-05-08T19:14:12.020;71;16,7
2024-05-08T19:14:13.006;72;16,1
2024-05-08T19:14:13.994;72;16,7
2024-05-08T19:14:15.050;74;16,4
2024-05-08T19:14:16.007;74;16,2
2024-05-08T19:14:16.998;75;16,4
2024-05-08T19:14:18.023;77;17,3
2024-05-08T19:14:19.009;78;17,1
2024-05-08T19:14:20.029;78;21,1
2024-05-08T19:14:21.049;78;22,2
2024-05-08T19:14:22.043;77;22,8
2024-05-08T19:14:23.024;76;22,8
2024-05-08T19:14:24.017;75;24,1
2024-05-08T19:14:25.009;75;22,7
2024-05-08T19:14:26.004;74;22,5
2024-05-08T19:14:27.013;73;22,5
2024-05-08T19:14:28.006;73;22,3
2024-05-08T19:14:28.994;72;22,5
2024-05-08T19:14:30.020;72;22,4
2024-05-08T19:14:31.011;71;22,5
2024-05-08T19:14:31.992;71;22,5
2024-05-08T19:14:33.022;71;21,7
2024-05-08T19:14:34.008;70;20,9
2024-05-08T19:14:35.001;70;20,9
2024-05-08T19:14:36.014;70;20,7
2024-05-08T19:14:37.008;70;20,7
2024-05-08T19:14:38.030;71;20,9
2024-05-08T19:14:39.016;71;20,8
2024-05-08T19:14:40.007;71;20,7
2024-05-08T19:14:40.998;71;20,7
2024-05-08T19:14:42.023;72;19,3
2024-05-08T19:14:43.013;72;19,3
2024-05-08T19:14:43.999;72;19,3
2024-05-08T19:14:45.012;72;14,8
2024-05-08T19:14:46.005;72;12,8
2024-05-08T19:14:46.997;73;11,2
2024-05-08T19:14:48.022;73;8,0
2024-05-08T19:14:49.009;73;9,8
2024-05-08T19:14:49.999;73;11,3
2024-05-08T19:14:51.014;73;11,4
2024-05-08T19:14:52.012;73;11,4
2024-05-08T19:14:52.997;72;13,1
2024-05-08T19:14:54.023;72;12,9
2024-05-08T19:14:55.038;71;12,7
2024-05-08T19:14:56.027;71;12,9
2024-05-08T19:14:57.014;71;12,9
2024-05-08T19:14:58.010;71;13,0
2024-05-08T19:14:59.001;70;13,0
2024-05-08T19:15:00.053;70;13,0
2024-05-08T19:15:01.007;70;12,8
2024-05-08T19:15:02.000;70;13,6
2024-05-08T19:15:02.984;70;12,2
2024-05-08T19:15:04.005;70;14,6
2024-05-08T19:15:05.000;70;14,6
2024-05-08T19:15:05.987;70;17,9
2024-05-08T19:15:07.004;71;17,9
2024-05-08T19:15:07.996;71;17,9
2024-05-08T19:15:08.994;71;18,0
2024-05-08T19:15:10.010;72;18,0
2024-05-08T19:15:10.998;72;18,4
2024-05-08T19:15:11.988;72;18,4
2024-05-08T19:15:13.006;72;17,5
2024-05-08T19:15:14.001;72;16,5
2024-05-08T19:15:14.992;76;24,0
2024-05-08T19:15:16.045;86;25,2
2024-05-08T19:15:16.998;94;26,2
2024-05-08T19:15:17.986;95;26,3
2024-05-08T19:15:19.009;99;26,3
2024-05-08T19:15:19.998;101;26,3
2024-05-08T19:15:20.991;102;26,3
