Phone timestamp;HR [bpm];HRV [ms];
2024-05-11T14:56:53.890;75
2024-05-11T14:56:54.875;76
2024-05-11T14:56:55.897;76
2024-05-11T14:56:56.893;76;18,3
2024-05-11T14:56:57.883;76;18,5
2024-05-11T14:56:58.896;77;17,2
2024-05-11T14:56:59.897;77;17,7
2024-05-11T14:57:00.886;77;17,2
2024-05-11T14:57:01.903;78;19,4
2024-05-11T14:57:02.892;77;19,7
2024-05-11T14:57:03.878;77;19,0
2024-05-11T14:57:04.904;77;19,3
2024-05-11T14:57:05.894;77;19,0
2024-05-11T14:57:06.916;75;21,5
2024-05-11T14:57:07.905;74;20,8
2024-05-11T14:57:08.900;74;20,3
2024-05-11T14:57:09.885;75;23,5
2024-05-11T14:57:10.904;75;22,4
2024-05-11T14:57:11.893;75;22,0
2024-05-11T14:57:12.878;76;23,3
2024-05-11T14:57:13.904;77;25,8
2024-05-11T14:57:14.893;78;25,3
2024-05-11T14:57:15.879;79;24,9
2024-05-11T14:57:16.907;79;26,5
2024-05-11T14:57:17.898;77;29,3
2024-05-11T14:57:18.881;77;29,2
2024-05-11T14:57:19.904;77;29,2
2024-05-11T14:57:20.895;76;29,0
2024-05-11T14:57:21.916;76;28,8
2024-05-11T14:57:22.908;76;29,4
2024-05-11T14:57:23.888;77;29,3
2024-05-11T14:57:24.883;77;29,2
2024-05-11T14:57:25.905;76;28,5
2024-05-11T14:57:26.888;76;28,5
2024-05-11T14:57:27.876;76;28,2
2024-05-11T14:57:28.900;75;26,6
2024-05-11T14:57:29.895;76;27,3
2024-05-11T14:57:30.883;76;27,3
2024-05-11T14:57:31.912;76;25,2
2024-05-11T14:57:32.891;77;25,3
2024-05-11T14:57:33.885;77;25,3
2024-05-11T14:57:34.905;77;25,3
2024-05-11T14:57:35.895;77;23,5
2024-05-11T14:57:36.884;77;20,6
2024-05-11T14:57:37.905;78;20,8
2024-05-11T14:57:38.893;78;18,1
2024-05-11T14:57:39.887;79;11,6
2024-05-11T14:57:40.900;79;11,6
2024-05-11T14:57:41.891;79;11,7
2024-05-11T14:57:42.884;79;11,6
2024-05-11T14:57:43.905;80;11,7
2024-05-11T14:57:44.891;81;9,3
2024-05-11T14:57:45.885;81;9,3
2024-05-11T14:57:46.910;80;10,3
2024-05-11T14:57:47.894;80;9,4
2024-05-11T14:57:48.885;80;9,5
2024-05-11T14:57:49.898;79;9,5
2024-05-11T14:57:50.892;79;9,5
2024-05-11T14:57:51.887;78;7,3
2024-05-11T14:57:52.895;78;7,4
2024-05-11T14:57:53.894;77;7,4
2024-05-11T14:57:54.920;77;7,9
2024-05-11T14:57:55.907;77;7,9
2024-05-11T14:57:56.885;77;7,8
2024-05-11T14:57:57.885;77;7,9
2024-05-11T14:57:58.901;76;7,9
2024-05-11T14:57:59.899;76;7,7
2024-05-11T14:58:00.885;76;7,5
2024-05-11T14:58:01.933;76;7,2
2024-05-11T14:58:02.898;76;7,2
2024-05-11T14:58:03.890;76;8,5
2024-05-11T14:58:04.895;76;8,4
2024-05-11T14:58:05.897;76;8,4
2024-05-11T14:58:06.884;76;9,2
2024-05-11T14:58:07.899;75;12,4
2024-05-11T14:58:08.885;75;12,4
2024-05-11T14:58:09.884;75;12,0
2024-05-11T14:58:10.904;75;12,0
2024-05-11T14:58:11.898;74;11,9
