Phone timestamp;HR [bpm];HRV [ms];
2024-05-13T22:17:14.804;84
2024-05-13T22:17:15.794;84
2024-05-13T22:17:16.814;84
2024-05-13T22:17:17.810;84
2024-05-13T22:17:18.801;82
2024-05-13T22:17:19.814;80;75,1
2024-05-13T22:17:20.805;79;67,2
2024-05-13T22:17:21.797;79;76,5
2024-05-13T22:17:22.814;79;70,8
2024-05-13T22:17:23.810;78;66,3
2024-05-13T22:17:24.800;77;65,3
2024-05-13T22:17:25.818;76;62,0
2024-05-13T22:17:26.805;75;61,9
2024-05-13T22:17:27.800;74;59,3
2024-05-13T22:17:28.815;72;55,4
2024-05-13T22:17:29.841;72;53,7
2024-05-13T22:17:30.796;71;50,5
2024-05-13T22:17:31.850;71;50,5
2024-05-13T22:17:32.805;71;50,5
2024-05-13T22:17:33.794;69;49,1
2024-05-13T22:17:34.822;68;47,8
2024-05-13T22:17:35.809;66;45,4
2024-05-13T22:17:36.800;66;44,7
2024-05-13T22:17:37.820;65;43,7
2024-05-13T22:17:38.807;65;43,6
2024-05-13T22:17:39.796;64;42,7
2024-05-13T22:17:40.851;64;41,9
2024-05-13T22:17:41.837;63;41,2
2024-05-13T22:17:42.798;63;35,8
2024-05-13T22:17:43.823;63;32,8
2024-05-13T22:17:44.809;63;32,8
2024-05-13T22:17:45.801;62;31,7
2024-05-13T22:17:46.822;62;31,7
2024-05-13T22:17:47.811;65;24,0
2024-05-13T22:17:48.794;66;28,3
2024-05-13T22:17:49.821;65;28,3
2024-05-13T22:17:50.809;65;26,3
2024-05-13T22:17:51.797;65;26,7
2024-05-13T22:17:52.815;65;24,2
2024-05-13T22:17:53.810;64;24,3
2024-05-13T22:17:54.794;65;23,7
2024-05-13T22:17:55.821;65;23,7
2024-05-13T22:17:56.809;65;23,8
2024-05-13T22:17:57.795;65;23,8
2024-05-13T22:17:58.819;65;23,8
2024-05-13T22:17:59.809;65;24,9
2024-05-13T22:18:00.798;64;25,2
2024-05-13T22:18:01.824;64;25,2
2024-05-13T22:18:02.810;64;25,2
2024-05-13T22:18:03.797;63;24,8
2024-05-13T22:18:04.819;63;24,8
2024-05-13T22:18:05.811;63;23,7
2024-05-13T22:18:06.798;63;23,7
2024-05-13T22:18:07.817;63;23,9
2024-05-13T22:18:08.803;63;23,8
2024-05-13T22:18:09.795;63;23,7
2024-05-13T22:18:10.814;63;23,6
2024-05-13T22:18:11.813;63;23,4
2024-05-13T22:18:12.797;63;21,0
2024-05-13T22:18:13.849;62;21,8
2024-05-13T22:18:14.842;62;21,0
2024-05-13T22:18:15.799;62;21,7
2024-05-13T22:18:16.818;62;21,7
2024-05-13T22:18:17.812;61;15,7
2024-05-13T22:18:18.828;61;16,9
2024-05-13T22:18:19.822;61;18,2
2024-05-13T22:18:20.842;61;18,1
2024-05-13T22:18:21.802;61;18,7
2024-05-13T22:18:22.819;60;18,6
2024-05-13T22:18:23.806;60;19,2
2024-05-13T22:18:24.797;60;19,2
2024-05-13T22:18:25.813;60;19,2
2024-05-13T22:18:26.813;60;19,7
2024-05-13T22:18:27.800;60;19,9
2024-05-13T22:18:28.815;61;18,5
2024-05-13T22:18:29.805;61;18,1
2024-05-13T22:18:30.802;61;18,2
2024-05-13T22:18:31.826;61;18,3
2024-05-13T22:18:32.809;61;19,2
2024-05-13T22:18:33.795;60;20,0
2024-05-13T22:18:34.819;60;20,0
2024-05-13T22:18:35.810;60;20,3
2024-05-13T22:18:36.803;61;20,2
2024-05-13T22:18:37.812;61;20,3
2024-05-13T22:18:38.808;61;20,3
2024-05-13T22:18:39.797;61;20,3
2024-05-13T22:18:40.822;61;20,0
2024-05-13T22:18:41.804;61;19,2
2024-05-13T22:18:42.797;61;19,3
2024-05-13T22:18:43.822;61;19,7
2024-05-13T22:18:44.809;61;19,7
2024-05-13T22:18:45.792;61;20,0
2024-05-13T22:18:46.846;61;19,3
2024-05-13T22:18:47.842;61;18,0
2024-05-13T22:18:48.796;62;17,5
2024-05-13T22:18:49.819;62;16,8
2024-05-13T22:18:50.813;63;17,8
2024-05-13T22:18:51.801;63;17,8
