Phone timestamp;HR [bpm];HRV [ms];
2024-05-14T12:10:11.468;102
2024-05-14T12:10:12.458;102
2024-05-14T12:10:13.485;105
2024-05-14T12:10:14.470;107;1,4
2024-05-14T12:10:15.463;106;10,3
2024-05-14T12:10:16.527;104;17,6
2024-05-14T12:10:17.522;102;17,8
2024-05-14T12:10:18.497;102;17,4
2024-05-14T12:10:19.482;102;16,7
2024-05-14T12:10:20.486;102;16,0
2024-05-14T12:10:21.479;103;15,3
2024-05-14T12:10:22.485;104;14,8
2024-05-14T12:10:23.469;104;14,1
2024-05-14T12:10:24.464;104;13,6
2024-05-14T12:10:25.499;104;13,3
2024-05-14T12:10:26.478;102;13,8
2024-05-14T12:10:27.467;101;13,3
2024-05-14T12:10:28.478;100;13,1
2024-05-14T12:10:29.489;99;12,8
2024-05-14T12:10:30.468;98;12,8
2024-05-14T12:10:31.484;98;12,8
2024-05-14T12:10:32.474;97;12,0
2024-05-14T12:10:33.477;97;9,3
2024-05-14T12:10:34.497;97;9,3
2024-05-14T12:10:35.479;95;8,0
2024-05-14T12:10:36.458;89;19,7
2024-05-14T12:10:37.479;87;19,5
2024-05-14T12:10:38.488;87;19,6
2024-05-14T12:10:39.468;87;20,5
2024-05-14T12:10:40.486;88;20,5
2024-05-14T12:10:41.472;88;20,5
2024-05-14T12:10:42.473;88;20,5
2024-05-14T12:10:43.496;88;20,6
2024-05-14T12:10:44.504;87;20,9
2024-05-14T12:10:45.470;85;22,9
2024-05-14T12:10:46.481;84;22,4
2024-05-14T12:10:47.490;84;22,4
2024-05-14T12:10:48.463;84;24,2
2024-05-14T12:10:49.530;85;24,2
2024-05-14T12:10:50.504;85;24,2
2024-05-14T12:10:51.497;86;24,2
2024-05-14T12:10:52.480;86;24,3
2024-05-14T12:10:53.488;85;25,5
2024-05-14T12:10:54.468;84;25,6
2024-05-14T12:10:55.479;83;25,6
2024-05-14T12:10:56.471;83;25,8
2024-05-14T12:10:57.481;83;19,2
2024-05-14T12:10:58.500;84;19,2
2024-05-14T12:10:59.480;86;20,4
2024-05-14T12:11:00.478;87;19,4
2024-05-14T12:11:01.498;88;19,4
2024-05-14T12:11:02.479;89;19,5
2024-05-14T12:11:03.467;88;20,3
2024-05-14T12:11:04.485;87;19,9
2024-05-14T12:11:05.477;87;17,6
2024-05-14T12:11:06.479;87;17,6
2024-05-14T12:11:07.488;88;20,4
2024-05-14T12:11:08.477;88;18,2
2024-05-14T12:11:09.464;89;18,3
2024-05-14T12:11:10.500;91;18,3
2024-05-14T12:11:11.478;90;19,1
2024-05-14T12:11:12.478;88;24,9
2024-05-14T12:11:13.483;85;23,6
2024-05-14T12:11:14.488;84;23,4
2024-05-14T12:11:15.479;84;23,6
2024-05-14T12:11:16.485;85;26,4
2024-05-14T12:11:17.481;86;26,5
2024-05-14T12:11:18.459;90;26,5
