Phone timestamp;HR [bpm];HRV [ms];
2024-05-15T22:01:06.946;175
2024-05-15T22:01:07.936;174;0,5
2024-05-15T22:01:08.946;174;0,4
2024-05-15T22:01:09.968;173;1,3
2024-05-15T22:01:10.946;172;1,3
2024-05-15T22:01:11.930;173;1,2
2024-05-15T22:01:12.955;173;1,1
2024-05-15T22:01:13.956;173;1,0
2024-05-15T22:01:14.933;173;1,0
2024-05-15T22:01:15.955;173;1,0
2024-05-15T22:01:16.938;173;1,0
2024-05-15T22:01:17.947;172;0,9
2024-05-15T22:01:18.967;172;1,0
2024-05-15T22:01:19.948;172;0,8
2024-05-15T22:01:20.932;172;0,7
2024-05-15T22:01:21.974;171;0,9
2024-05-15T22:01:22.957;170;0,9
2024-05-15T22:01:23.951;169;1,0
2024-05-15T22:01:24.952;167;1,1
2024-05-15T22:01:25.942;167;1,1
2024-05-15T22:01:26.977;166;1,1
2024-05-15T22:01:27.970;165;1,3
2024-05-15T22:01:28.941;164;1,3
2024-05-15T22:01:29.932;163;1,3
2024-05-15T22:01:30.961;161;1,4
2024-05-15T22:01:31.957;160;1,5
2024-05-15T22:01:32.949;158;1,5
2024-05-15T22:01:33.958;157;1,5
2024-05-15T22:01:34.977;157;1,5
2024-05-15T22:01:35.966;157;1,4
2024-05-15T22:01:36.968;157;1,4
2024-05-15T22:01:37.958;156;1,4
2024-05-15T22:01:38.938;155;1,4
2024-05-15T22:01:39.950;154;1,5
2024-05-15T22:01:40.943;153;1,5
2024-05-15T22:01:41.947;152;1,4
2024-05-15T22:01:42.960;151;1,3
2024-05-15T22:01:43.942;150;1,2
2024-05-15T22:01:44.929;150;1,2
2024-05-15T22:01:45.967;151;1,3
2024-05-15T22:01:46.960;152;1,3
2024-05-15T22:01:47.936;151;1,5
2024-05-15T22:01:48.950;150;1,7
2024-05-15T22:01:49.956;148;2,0
2024-05-15T22:01:50.949;147;1,9
2024-05-15T22:01:51.968;146;1,8
2024-05-15T22:01:52.947;145;1,8
2024-05-15T22:01:53.950;145;1,8
2024-05-15T22:01:54.968;145;1,7
2024-05-15T22:01:55.958;145;1,7
2024-05-15T22:01:56.937;145;1,8
2024-05-15T22:01:57.947;143;2,1
2024-05-15T22:01:58.954;142;2,2
2024-05-15T22:01:59.950;140;2,2
2024-05-15T22:02:00.968;139;2,0
2024-05-15T22:02:01.936;138;1,8
2024-05-15T22:02:02.950;138;1,8
2024-05-15T22:02:03.970;139;1,8
2024-05-15T22:02:04.958;139;1,8
2024-05-15T22:02:05.926;138;2,1
2024-05-15T22:02:06.958;137;2,1
2024-05-15T22:02:07.977;136;2,2
2024-05-15T22:02:08.979;135;2,2
2024-05-15T22:02:09.948;135;2,1
2024-05-15T22:02:10.948;135;1,7
2024-05-15T22:02:11.941;135;1,7
2024-05-15T22:02:12.959;135;1,5
2024-05-15T22:02:13.957;135;1,5
2024-05-15T22:02:14.977;135;1,6
2024-05-15T22:02:15.958;134;2,1
2024-05-15T22:02:16.980;133;2,1
2024-05-15T22:02:17.932;132;2,1
2024-05-15T22:02:18.957;132;1,8
2024-05-15T22:02:19.946;132;2,2
2024-05-15T22:02:20.939;133;2,1
2024-05-15T22:02:21.950;133;2,1
2024-05-15T22:02:22.957;133;2,1
2024-05-15T22:02:23.939;132;2,4
2024-05-15T22:02:24.952;132;2,4
2024-05-15T22:02:25.938;133;2,4
2024-05-15T22:02:26.945;133;2,5
