Phone timestamp;HR [bpm];HRV [ms];
2024-05-17T13:14:20.942;111
2024-05-17T13:14:21.938;111
2024-05-17T13:14:22.981;110;3,4
2024-05-17T13:14:23.947;110;3,2
2024-05-17T13:14:24.952;110;3,3
2024-05-17T13:14:25.972;112;5,0
2024-05-17T13:14:26.952;113;4,6
2024-05-17T13:14:27.973;114;4,3
2024-05-17T13:14:28.954;115;4,1
2024-05-17T13:14:29.963;116;3,9
2024-05-17T13:14:30.956;117;4,1
2024-05-17T13:14:31.973;118;3,9
2024-05-17T13:14:32.951;117;4,1
2024-05-17T13:14:33.957;116;4,1
2024-05-17T13:14:34.963;116;4,0
2024-05-17T13:14:35.965;115;3,9
2024-05-17T13:14:36.940;115;4,0
2024-05-17T13:14:37.962;116;3,8
2024-05-17T13:14:38.964;118;4,5
2024-05-17T13:14:39.954;119;4,4
2024-05-17T13:14:40.975;119;3,7
2024-05-17T13:14:41.952;119;3,8
2024-05-17T13:14:42.958;118;4,3
2024-05-17T13:14:43.956;116;4,5
2024-05-17T13:14:44.952;115;4,5
2024-05-17T13:14:45.942;115;4,3
2024-05-17T13:14:46.961;116;4,4
2024-05-17T13:14:47.951;118;4,7
2024-05-17T13:14:48.953;119;4,6
2024-05-17T13:14:49.974;119;4,7
2024-05-17T13:14:50.957;119;4,7
2024-05-17T13:14:51.940;119;4,6
2024-05-17T13:14:52.975;116;5,6
2024-05-17T13:14:53.963;115;5,5
2024-05-17T13:14:54.944;113;5,6
2024-05-17T13:14:55.957;112;5,6
2024-05-17T13:14:56.953;113;5,8
2024-05-17T13:14:57.955;113;5,5
2024-05-17T13:14:58.961;114;5,4
2024-05-17T13:14:59.953;114;5,4
2024-05-17T13:15:00.963;114;5,3
2024-05-17T13:15:01.977;115;5,2
2024-05-17T13:15:02.964;116;5,6
2024-05-17T13:15:03.944;117;5,6
2024-05-17T13:15:04.956;117;5,7
2024-05-17T13:15:05.952;116;5,8
2024-05-17T13:15:06.987;115;6,0
2024-05-17T13:15:07.955;114;5,7
2024-05-17T13:15:08.952;113;4,7
2024-05-17T13:15:09.935;113;4,6
2024-05-17T13:15:10.975;113;4,6
2024-05-17T13:15:11.954;113;4,2
2024-05-17T13:15:12.953;113;4,4
2024-05-17T13:15:13.963;114;4,3
2024-05-17T13:15:14.946;114;4,3
2024-05-17T13:15:15.952;115;4,3
2024-05-17T13:15:16.975;115;4,3
2024-05-17T13:15:17.956;115;3,0
2024-05-17T13:15:18.936;115;3,2
2024-05-17T13:15:19.956;116;3,1
2024-05-17T13:15:20.947;115;2,9
2024-05-17T13:15:21.953;115;2,5
2024-05-17T13:15:22.966;114;2,3
2024-05-17T13:15:23.944;115;2,3
2024-05-17T13:15:24.954;115;2,3
2024-05-17T13:15:25.974;115;2,3
2024-05-17T13:15:26.954;116;3,2
2024-05-17T13:15:27.948;117;3,0
2024-05-17T13:15:28.962;118;3,0
2024-05-17T13:15:29.963;116;4,8
2024-05-17T13:15:30.953;114;7,3
2024-05-17T13:15:31.960;110;8,5
2024-05-17T13:15:32.943;106;8,5
2024-05-17T13:15:33.988;105;8,6
2024-05-17T13:15:34.974;106;9,0
2024-05-17T13:15:35.952;108;9,4
2024-05-17T13:15:36.943;109;9,4
2024-05-17T13:15:37.953;110;9,4
2024-05-17T13:15:38.957;110;9,4
2024-05-17T13:15:39.955;110;9,5
2024-05-17T13:15:40.963;109;9,7
2024-05-17T13:15:41.948;108;9,7
2024-05-17T13:15:42.943;108;9,7
2024-05-17T13:15:43.974;108;9,5
2024-05-17T13:15:44.947;108;9,6
2024-05-17T13:15:45.943;109;8,8
2024-05-17T13:15:46.952;110;7,1
