Phone timestamp;HR [bpm];HRV [ms];
2024-05-23T22:36:16.719;93
2024-05-23T22:36:17.718;95
2024-05-23T22:36:18.730;96;15,3
2024-05-23T22:36:19.739;97;13,7
2024-05-23T22:36:20.730;97;12,0
2024-05-23T22:36:21.753;97;11,4
2024-05-23T22:36:22.720;100;11,9
2024-05-23T22:36:23.730;99;13,6
2024-05-23T22:36:24.738;99;13,1
2024-05-23T22:36:25.741;97;12,3
2024-05-23T22:36:26.712;98;13,0
2024-05-23T22:36:27.765;100;12,3
2024-05-23T22:36:28.741;98;12,1
2024-05-23T22:36:29.730;97;11,6
2024-05-23T22:36:30.732;98;11,8
2024-05-23T22:36:31.730;100;12,0
2024-05-23T22:36:32.735;101;11,7
2024-05-23T22:36:33.738;101;11,5
2024-05-23T22:36:34.723;101;10,0
2024-05-23T22:36:35.752;103;10,6
2024-05-23T22:36:36.734;104;10,6
2024-05-23T22:36:37.731;104;10,5
2024-05-23T22:36:38.711;102;11,2
2024-05-23T22:36:39.753;101;10,6
2024-05-23T22:36:40.729;101;11,2
2024-05-23T22:36:41.724;103;9,8
2024-05-23T22:36:42.736;102;9,9
2024-05-23T22:36:43.741;100;9,1
2024-05-23T22:36:44.721;100;9,1
2024-05-23T22:36:45.740;101;9,1
2024-05-23T22:36:46.722;102;9,1
2024-05-23T22:36:47.733;101;8,6
2024-05-23T22:36:48.751;100;7,8
2024-05-23T22:36:49.732;101;7,8
2024-05-23T22:36:50.729;102;8,8
2024-05-23T22:36:51.755;104;8,8
2024-05-23T22:36:52.742;103;9,6
2024-05-23T22:36:53.752;102;9,6
2024-05-23T22:36:54.740;102;10,2
2024-05-23T22:36:55.741;104;9,6
2024-05-23T22:36:56.731;103;9,6
2024-05-23T22:36:57.744;100;12,7
2024-05-23T22:36:58.730;99;12,7
2024-05-23T22:36:59.712;100;14,0
2024-05-23T22:37:00.782;103;14,1
2024-05-23T22:37:01.761;103;14,1
2024-05-23T22:37:02.727;103;14,3
2024-05-23T22:37:03.733;101;14,6
2024-05-23T22:37:04.740;99;15,0
2024-05-23T22:37:05.721;97;15,1
2024-05-23T22:37:06.752;97;15,1
2024-05-23T22:37:07.721;96;15,1
2024-05-23T22:37:08.711;95;14,5
2024-05-23T22:37:09.751;95;14,5
2024-05-23T22:37:10.732;95;13,6
2024-05-23T22:37:11.720;95;13,7
2024-05-23T22:37:12.741;93;13,3
2024-05-23T22:37:13.721;93;13,2
2024-05-23T22:37:14.721;92;13,2
2024-05-23T22:37:15.751;92;9,6
2024-05-23T22:37:16.733;91;9,7
2024-05-23T22:37:17.714;90;9,9
2024-05-23T22:37:18.740;89;7,8
2024-05-23T22:37:19.740;88;8,0
2024-05-23T22:37:20.730;87;8,6
2024-05-23T22:37:21.740;87;8,5
2024-05-23T22:37:22.721;86;8,5
2024-05-23T22:37:23.716;86;8,1
2024-05-23T22:37:24.752;86;7,3
2024-05-23T22:37:25.732;86;7,2
2024-05-23T22:37:26.713;87;7,8
2024-05-23T22:37:27.770;91;13,0
2024-05-23T22:37:28.741;93;13,0
2024-05-23T22:37:29.724;94;13,1
2024-05-23T22:37:30.740;93;14,8
2024-05-23T22:37:31.722;92;15,4
2024-05-23T22:37:32.731;88;19,8
2024-05-23T22:37:33.781;88;21,0
2024-05-23T22:37:34.730;89;24,2
2024-05-23T22:37:35.712;92;24,3
2024-05-23T22:37:36.754;92;24,2
2024-05-23T22:37:37.741;93;24,3
2024-05-23T22:37:38.730;93;24,3
2024-05-23T22:37:39.732;92;24,3
2024-05-23T22:37:40.723;91;24,5
2024-05-23T22:37:41.721;89;24,6
2024-05-23T22:37:42.750;88;24,6
2024-05-23T22:37:43.727;88;24,6
2024-05-23T22:37:44.719;87;24,6
2024-05-23T22:37:45.751;87;24,5
2024-05-23T22:37:46.731;86;25,0
2024-05-23T22:37:47.729;84;22,8
