Phone timestamp;HR [bpm];HRV [ms];
2024-05-24T23:19:11.434;73
2024-05-24T23:19:12.430;73
2024-05-24T23:19:13.433;74
2024-05-24T23:19:14.454;73
2024-05-24T23:19:15.431;73;11,9
2024-05-24T23:19:16.419;73;11,0
2024-05-24T23:19:17.454;72;10,2
2024-05-24T23:19:18.446;72;9,7
2024-05-24T23:19:19.426;72;9,4
2024-05-24T23:19:20.442;71;8,8
2024-05-24T23:19:21.426;72;15,7
2024-05-24T23:19:22.465;72;15,6
2024-05-24T23:19:23.455;73;14,8
2024-05-24T23:19:24.430;74;14,9
2024-05-24T23:19:25.436;74;14,7
2024-05-24T23:19:26.455;75;14,3
2024-05-24T23:19:27.438;75;13,8
2024-05-24T23:19:28.418;76;13,5
2024-05-24T23:19:29.469;75;13,0
2024-05-24T23:19:30.443;76;12,7
2024-05-24T23:19:31.422;76;13,6
2024-05-24T23:19:32.456;78;17,0
2024-05-24T23:19:33.425;79;16,7
2024-05-24T23:19:34.420;79;17,0
2024-05-24T23:19:35.455;79;18,6
2024-05-24T23:19:36.432;78;20,3
2024-05-24T23:19:37.444;78;20,4
2024-05-24T23:19:38.447;76;21,0
2024-05-24T23:19:39.445;75;21,0
2024-05-24T23:19:40.422;75;21,0
2024-05-24T23:19:41.456;75;21,4
2024-05-24T23:19:42.435;75;22,7
2024-05-24T23:19:43.415;76;22,8
2024-05-24T23:19:44.454;76;21,1
2024-05-24T23:19:45.424;76;20,9
2024-05-24T23:19:46.433;76;22,6
2024-05-24T23:19:47.444;75;25,4
2024-05-24T23:19:48.431;74;25,3
2024-05-24T23:19:49.424;72;27,8
2024-05-24T23:19:50.445;71;27,8
2024-05-24T23:19:51.438;71;29,0
2024-05-24T23:19:52.418;71;29,5
2024-05-24T23:19:53.439;71;29,7
2024-05-24T23:19:54.446;72;30,3
2024-05-24T23:19:55.464;72;29,8
2024-05-24T23:19:56.446;72;28,8
2024-05-24T23:19:57.432;71;28,8
2024-05-24T23:19:58.433;71;28,9
2024-05-24T23:19:59.456;70;31,2
2024-05-24T23:20:00.438;69;30,0
2024-05-24T23:20:01.420;69;28,9
2024-05-24T23:20:02.438;68;28,6
2024-05-24T23:20:03.446;69;29,5
2024-05-24T23:20:04.424;69;30,5
2024-05-24T23:20:05.444;69;30,5
2024-05-24T23:20:06.424;70;30,3
2024-05-24T23:20:07.434;70;30,2
2024-05-24T23:20:08.445;70;29,2
2024-05-24T23:20:09.432;70;29,5
2024-05-24T23:20:10.418;70;30,2
2024-05-24T23:20:11.488;69;29,4
2024-05-24T23:20:12.445;68;26,9
2024-05-24T23:20:13.454;68;26,9
2024-05-24T23:20:14.444;68;24,5
2024-05-24T23:20:15.432;68;24,5
2024-05-24T23:20:16.423;68;24,2
2024-05-24T23:20:17.458;69;23,9
2024-05-24T23:20:18.428;69;23,6
2024-05-24T23:20:19.423;70;22,8
2024-05-24T23:20:20.457;70;22,8
2024-05-24T23:20:21.428;70;22,8
2024-05-24T23:20:22.417;70;22,4
2024-05-24T23:20:23.442;70;22,2
2024-05-24T23:20:24.429;70;18,4
2024-05-24T23:20:25.422;70;18,5
2024-05-24T23:20:26.458;71;20,4
2024-05-24T23:20:27.445;72;19,8
2024-05-24T23:20:28.423;72;18,5
2024-05-24T23:20:29.457;72;16,8
2024-05-24T23:20:30.425;72;17,0
2024-05-24T23:20:31.434;72;17,1
2024-05-24T23:20:32.456;72;18,7
2024-05-24T23:20:33.433;71;18,3
2024-05-24T23:20:34.437;71;17,1
2024-05-24T23:20:35.456;70;17,0
2024-05-24T23:20:36.456;70;16,5
2024-05-24T23:20:37.425;71;17,0
2024-05-24T23:20:38.435;71;16,5
2024-05-24T23:20:39.445;71;16,4
2024-05-24T23:20:40.434;71;16,0
2024-05-24T23:20:41.446;71;15,1
2024-05-24T23:20:42.432;70;14,7
2024-05-24T23:20:43.437;70;15,0
2024-05-24T23:20:44.485;70;15,0
2024-05-24T23:20:45.445;70;15,0
2024-05-24T23:20:46.424;70;14,9
2024-05-24T23:20:47.435;70;14,3
2024-05-24T23:20:48.446;70;16,3
2024-05-24T23:20:49.433;71;16,2
2024-05-24T23:20:50.443;71;16,1
2024-05-24T23:20:51.430;71;13,7
