Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2024-05-02T17:48:28.831;537866314551200551;53287;-16341;76053;-238277;
2024-05-02T17:48:28.849;537866314569371646;53312;-16261;76044;-238233;
2024-05-02T17:48:28.867;537866314587542741;53359;-16325;76051;-238315;
2024-05-02T17:48:28.885;537866314605713836;53342;-16326;76064;-238286;
2024-05-02T17:48:28.903;537866314623884931;53416;-16235;76136;-238240;
2024-05-02T17:48:28.921;537866314642056026;53439;-16198;76157;-238286;
2024-05-02T17:48:28.940;537866314660227121;53459;-16187;76235;-238272;
2024-05-02T17:48:28.958;537866314678398216;53535;-16167;76247;-238259;
2024-05-02T17:48:28.976;537866314696569311;53585;-16178;76362;-238283;
2024-05-02T17:48:28.994;537866314714740406;53667;-16024;76384;-238385;
2024-05-02T17:48:29.012;537866314732911501;53835;-15948;76521;-238237;
2024-05-02T17:48:29.030;537866314751082596;53970;-15962;76610;-238269;
2024-05-02T17:48:29.049;537866314769253691;54017;-15881;76642;-238260;
2024-05-02T17:48:29.067;537866314787424786;54062;-15793;76716;-238302;
2024-05-02T17:48:29.085;537866314805595881;54148;-15729;76807;-238286;
2024-05-02T17:48:29.103;537866314823766976;54161;-15663;76878;-238282;
2024-05-02T17:48:29.121;537866314841938071;54248;-15623;77003;-238281;
2024-05-02T17:48:29.139;537866314860109166;54354;-15582;77060;-238309;
2024-05-02T17:48:29.158;537866314878280261;54481;-15491;77150;-238292;
2024-05-02T17:48:29.176;537866314896451356;54507;-15510;77141;-238299;
2024-05-02T17:48:29.194;537866314914622451;54637;-15357;77253;-238260;
2024-05-02T17:48:29.212;537866314932793546;54700;-15432;77279;-238281;
2024-05-02T17:48:29.230;537866314950964641;54760;-15350;77328;-238265;
2024-05-02T17:48:29.248;537866314969135736;54823;-15292;77406;-238295;
2024-05-02T17:48:29.267;537866314987306831;54879;-15240;77521;-238285;
2024-05-02T17:48:29.285;537866315005477926;54868;-15229;77532;-238293;
2024-05-02T17:48:29.303;537866315023649021;54944;-15188;77587;-238333;
2024-05-02T17:48:29.321;537866315041820116;54943;-15105;77631;-238378;
2024-05-02T17:48:29.339;537866315059991211;55058;-15052;77732;-238316;
2024-05-02T17:48:29.357;537866315078162306;55131;-14968;77801;-238318;
2024-05-02T17:48:29.376;537866315096333401;55212;-14933;77864;-238286;
2024-05-02T17:48:29.394;537866315114504496;55303;-14802;77958;-238263;
2024-05-02T17:48:29.412;537866315132675591;55303;-14813;77969;-238311;
2024-05-02T17:48:29.430;537866315150846686;55342;-14722;78096;-238294;
2024-05-02T17:48:29.448;537866315169017781;55346;-14664;78119;-238321;
2024-05-02T17:48:29.466;537866315187188876;55460;-14643;78216;-238295;
2024-05-02T17:48:29.485;537866315205359971;55548;-14634;78257;-238325;
