Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2024-05-08T19:13:56.153;538389843538310901;554360;575306;599774;4050;
2024-05-08T19:13:56.171;538389843556470782;554337;575212;599755;4110;
2024-05-08T19:13:56.189;538389843574630663;554401;575142;599741;4103;
2024-05-08T19:13:56.207;538389843592790544;554451;575214;599819;4120;
2024-05-08T19:13:56.225;538389843610950425;554531;575226;599873;4081;
2024-05-08T19:13:56.243;538389843629110306;554557;575262;599891;4084;
2024-05-08T19:13:56.261;538389843647270187;554557;575238;599864;4082;
2024-05-08T19:13:56.280;538389843665430068;554650;575218;599888;4045;
2024-05-08T19:13:56.298;538389843683589949;554596;575020;599789;4062;
2024-05-08T19:13:56.316;538389843701749830;554600;575008;599733;4121;
2024-05-08T19:13:56.334;538389843719909711;554569;574940;599767;4129;
2024-05-08T19:13:56.352;538389843738069592;554559;574893;599713;4091;
2024-05-08T19:13:56.370;538389843756229473;554609;574895;599688;4091;
2024-05-08T19:13:56.389;538389843774389354;554629;574935;599761;4089;
2024-05-08T19:13:56.407;538389843792549235;554724;574822;599904;4086;
2024-05-08T19:13:56.425;538389843810709116;554799;574858;599939;4101;
2024-05-08T19:13:56.443;538389843828868997;554940;574978;600069;4021;
2024-05-08T19:13:56.461;538389843847028878;555108;575059;600199;4065;
2024-05-08T19:13:56.479;538389843865188759;555317;575188;600307;4101;
2024-05-08T19:13:56.498;538389843883348640;555410;575231;600448;4132;
2024-05-08T19:13:56.516;538389843901508521;555567;575376;600649;4113;
2024-05-08T19:13:56.534;538389843919668402;555781;575446;600758;4077;
2024-05-08T19:13:56.552;538389843937828283;555889;575512;600888;4101;
2024-05-08T19:13:56.570;538389843955988164;556085;575559;600996;4085;
2024-05-08T19:13:56.588;538389843974148045;556234;575736;601238;4101;
2024-05-08T19:13:56.606;538389843992307926;556395;575796;601340;4121;
2024-05-08T19:13:56.625;538389844010467807;556527;575863;601450;4100;
2024-05-08T19:13:56.643;538389844028627688;556810;576111;601712;4184;
2024-05-08T19:13:56.661;538389844046787569;556900;576200;601851;4113;
2024-05-08T19:13:56.679;538389844064947450;557163;576389;602074;4142;
2024-05-08T19:13:56.697;538389844083107331;557342;576493;602192;4090;
2024-05-08T19:13:56.715;538389844101267212;557529;576631;602429;4105;
2024-05-08T19:13:56.734;538389844119427093;557696;576805;602634;4124;
2024-05-08T19:13:56.752;538389844137586974;557920;576955;602841;4135;
2024-05-08T19:13:56.770;538389844155746855;558006;576955;602848;4087;
2024-05-08T19:13:56.788;538389844173906736;557905;576850;602796;4095;
2024-05-08T19:13:56.806;538389844192066617;557733;576554;602576;4109;
2024-05-08T19:13:56.824;538389844210226498;557364;576143;602224;4101;
2024-05-08T19:13:56.843;538389844228386379;557013;575834;601872;4070;
2024-05-08T19:13:56.861;538389844246546260;556666;575455;601579;4040;
2024-05-08T19:13:56.879;538389844264706141;556541;575189;601310;4103;
2024-05-08T19:13:56.897;538389844282866022;556302;574966;601073;4069;
2024-05-08T19:13:56.915;538389844301025911;556255;574883;600990;4036;
2024-05-08T19:13:56.933;538389844319185792;556303;574792;600965;4116;
2024-05-08T19:13:56.952;538389844337345673;556229;574683;600887;4100;
2024-05-08T19:13:56.970;538389844355505554;556262;574708;600860;4097;
2024-05-08T19:13:56.988;538389844373665435;556252;574619;600798;4110;
2024-05-08T19:13:57.006;538389844391825316;556222;574542;600764;4114;
2024-05-08T19:13:57.024;538389844409985197;556167;574508;600722;4135;
2024-05-08T19:13:57.042;538389844428145078;556224;574357;600698;4082;
2024-05-08T19:13:57.060;538389844446304959;556173;574304;600655;4066;
2024-05-08T19:13:57.079;538389844464464840;556159;574222;600639;4066;
2024-05-08T19:13:57.097;538389844482624721;556120;574174;600587;4021;
2024-05-08T19:13:57.115;538389844500784602;556148;574093;600567;4072;
2024-05-08T19:13:57.133;538389844518944483;556181;573988;600491;4041;
2024-05-08T19:13:57.151;538389844537104364;556157;573982;600514;4048;
2024-05-08T19:13:57.169;538389844555264245;556176;573953;600608;4081;
2024-05-08T19:13:57.188;538389844573424126;556252;573891;600582;4087;
2024-05-08T19:13:57.206;538389844591584007;556339;573962;600654;4052;
2024-05-08T19:13:57.224;538389844609743888;556468;573948;600738;4041;
2024-05-08T19:13:57.242;538389844627903769;556488;573962;600739;4047;
